id,grid_id,score,data_source,borough,zip,latitude,longitude,lat_lon,address,status,cb_num,cncldist,category,assemblydist,coundist,gardenname,juris,geometry,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,statesenatedist,censustract,crossstreets
230930,2687,10.54,df_gardens,Manhattan,10031.0,40.828808,-73.944306,-3019.057872367248,481 WEST 151 STREET,Not GreenThumb,109.0,13.0,Garden,71.0,9.0,Convent Garden,DPR,POINT (-73.944306 40.828808),,,,,,,,30.0,235.01,
230931,1737,8.2,df_gardens,Manhattan,10038.0,40.709354,-74.001861,-3012.567956107794,340 Pearl Street,Active,101.0,10.0,Garden,65.0,1.0,Fishbridge Park Garden,DPR,POINT (-74.001861 40.709354),CLOSED,CLOSED,6:30 a.m. - 9:30 p.m.,6:30 a.m. - 9:30 p.m.,CLOSED,CLOSED,CLOSED,27.0,15.01,Dover Between Pearl & Warren
230932,2275,1.2399999999999998,df_gardens,Queens,11102.0,40.771972,-73.932086,-3014.356940293592,11-01 30th Avenue,Active,401.0,14.0,Garden,36.0,22.0,Two Coves Community Garden,DPR,POINT (-73.932086 40.771972),CLOSED,CLOSED,9:00 a.m. - 7:00 p.m.,9:00 a.m. - 7:00 p.m.,CLOSED,CLOSED,CLOSED,59.0,81.0,30th Avenue & Main Avenue & Astoria Boulevard & 8th St.
230933,1857,19.11,df_gardens,Manhattan,10009.0,40.724308,-73.982041,-3012.867424152628,84 Avenue B,Active,103.0,10.0,Garden,74.0,2.0,6th Street & Avenue B Garden,DPR,POINT (-73.982041 40.724308),TBA Evening Events,CLOSED,1:00 p.m. - 6:00 p.m. & TBA Evening Events,1:00 p.m. - 6:00 p.m. & TBA Evening Events,CLOSED,CLOSED,CLOSED,27.0,32.0,At E. 6th Street
230934,2569,14.32,df_gardens,Manhattan,10027.0,40.812311,-73.943149,-3017.7907933073393,108 West 132nd Street,Active,110.0,13.0,Garden,70.0,9.0,West 132nd Street Garden,DPR,POINT (-73.943149 40.812311),12:00 p.m. - 7:00 p.m.,CLOSED,12:00 p.m. - 7:00 p.m.,12:00 p.m. - 7:00 p.m.,CLOSED,CLOSED,CLOSED,30.0,226.0,"Lenox / Adam Clayton Powell, Jr. Blvd."
230935,2569,14.32,df_gardens,Manhattan,10030.0,40.81375,-73.943444,-3017.909237555,155 West 133rd Street,Active,110.0,13.0,Garden,70.0,9.0,133rd Swing Street Garden,DPR,POINT (-73.943444 40.81375),12:00 p.m. - 2:00 p.m.,7:00 p.m. - 8:00 p.m.,11:00 a.m. - 2:00 p.m.,2:30 p.m. - 5:00 p.m.,12:00 p.m. - 3:00 p.m.,11:00 a.m. - 3:00 p.m.,8:00 a.m. - 12:00 p.m.,30.0,226.0,Lenox & 7th Avenue
230936,2569,14.32,df_gardens,Manhattan,10030.0,40.813804,-73.942816,-3017.8875994320633,116 West 134th Street,Active,110.0,13.0,Garden,70.0,9.0,Harlem Grows 134th Street Farm,DPR,POINT (-73.942816 40.813804),10:00 a.m. - 2:00 p.m.,,10:00 a.m. - 2:00 p.m.,,10:00 a.m. - 2:00 p.m.,10:00 a.m. - 2:00 p.m.,10:00 a.m. - 2:00 p.m.,30.0,226.0,Lenox Avenue & Adam Clayton Powell Blvd.
230937,2451,9.85,df_gardens,Manhattan,10035.0,40.798811,-73.940557,-3016.686810277727,172 East 117th Street,Active,111.0,13.0,Garden,68.0,8.0,117th Street Community Garden,DPR,POINT (-73.940557 40.798811),12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,30.0,182.0,3rd & Lexington Avenues
230938,2569,14.32,df_gardens,Manhattan,10027.0,40.809341,-73.942661,-3017.551267196401,55 West 128th Street,Active,110.0,13.0,Garden,70.0,9.0,Unity Park,DPR,POINT (-73.942661 40.809341),9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,30.0,208.0,5th Ave. & Lenox Ave.
230939,2449,4.31,df_gardens,Manhattan,10025.0,40.796822,-73.961785,-3017.4057774472703,8 West 104th Street,Active,107.0,13.0,Garden,69.0,7.0,West 104th Street Garden,DPR,POINT (-73.961785 40.796822),CLOSED,CLOSED,10: 00 a.m. - 4:00 p.m,10: 00 a.m. - 4:00 p.m,CLOSED,CLOSED,CLOSED,30.0,189.0,Central Park West & Manhattan Avenue
