id,grid_id,score,data_source,latitude,longitude,lat_lon,address,created date,category,coundist,geometry,borocode,borough_df_benches_std_0,borough_df_benches_std_1,borocd,assemdist,stsendist,congdist,siteid,benchid,type,benchtype,geocodeadd,street,crossstree,borough_df_benches_std_2,borough_df_benches_std_3,comdist,busroute,bid
230787,1677,-1.3900000000000006,df_benches,40.705892,-74.007181,-3012.528317010452,80 Pine Street,08/12/2013,Bench,1.0,POINT (-74.007181 40.705892),1.0,Manhattan,Manhattan,101.0,65.0,26.0,10.0,2038.0,759.0,General,backless,80 Pine Street,Water Street,Maiden Lane and Pine Street,Manhattan,Manhattan,101.0,BM1,Alliance for Downtown New York
230788,1743,5.6,df_benches,40.707029,-73.939744,-3009.867303260576,264 Bushwick Avenue,07/29/2014,Bench,34.0,POINT (-73.939744 40.707029),3.0,Brooklyn,Brooklyn,301.0,53.0,18.0,7.0,2620.0,727.0,Municipal Facilities,backless,264 Bushwick Avenue,Johnson Avenue,Johnson Avenue and Montrose Avenue,Brooklyn,Brooklyn,301.0,B60,Not Applicable
230789,2632,10.45,df_benches,40.816411,-73.907896,-3016.655059281256,671 Westchester Avenue,08/06/2015,Bench,17.0,POINT (-73.907896 40.816411),2.0,Bronx,Bronx,201.0,79.0,32.0,15.0,3122.0,1676.0,General,backed,671 Westchester Avenue,Westchester Avenue,Cauldwell Avenue & Forest Avenue,Bronx,Bronx,201.0,Not Applicable,Not Applicable
230790,1034,7.070000000000001,df_benches,40.620518,-73.95542,-3004.10746930756,1690 Ocean Avenue,03/05/2014,Bench,48.0,POINT (-73.95542 40.620518),3.0,Brooklyn,Brooklyn,314.0,48.0,17.0,9.0,2390.0,1857.0,Senior Center,backed,1690 Ocean Avenue,Ocean Avenue,Avenue L & Avenue M,Brooklyn,Brooklyn,314.0,Not Applicable,Not Applicable
230791,967,3.81,df_benches,40.61324,-74.033313,-3006.73270886412,9920 4th Avenue,02/12/2018,Bench,43.0,POINT (-74.033313 40.61324),3.0,Brooklyn,Brooklyn,310.0,46.0,22.0,11.0,3928.0,439.0,General,backed 2,9920 4th Avenue,4th Avenue,99th Street & 100th Street,Brooklyn,Brooklyn,310.0,Not Applicable,Not Applicable
230792,1974,6.25,df_benches,40.740327,-73.986247,-3014.223896282769,303 Park Avenue South,04/29/2013,Bench,2.0,POINT (-73.986247 40.740327),1.0,Manhattan,Manhattan,105.0,74.0,28.0,12.0,1134.0,566.0,Senior Center,backless,303 Park Avenue South,Park Avenue South,E23rd & E24th Street,Manhattan,Manhattan,105.0,M1,Not Applicable
230793,3104,7.38,df_benches,40.874411,-73.902573,-3020.724142759503,2880 Kingsbridge Terrace,07/30/2014,Bench,14.0,POINT (-73.902573 40.874411),2.0,Bronx,Bronx,208.0,81.0,33.0,13.0,2701.0,1392.0,Municipal Facilities,backed,2880 Kingsbridge Terrace,Kingsbridge Terrace,West 229th Street & West 230th Street,Bronx,Bronx,208.0,Not Applicable,Not Applicable
230794,2628,10.580000000000002,df_benches,40.815601,-73.939754,-3017.8954973021537,540 Lenox Avenue,03/08/2013,Bench,9.0,POINT (-73.939754 40.815601),1.0,Manhattan,Manhattan,110.0,70.0,30.0,13.0,1657.0,425.0,Senior Center,backless,540 Lenox Avenue,Lenox Avenue,East 138th Street & East 137th Street,Manhattan,Manhattan,110.0,M07,Not Applicable
230795,1684,6.34,df_benches,40.700243,-73.947814,-3009.693999118802,11 Bartlett Street,10/14/2014,Bench,33.0,POINT (-73.947814 40.700243),3.0,Brooklyn,Brooklyn,301.0,53.0,26.0,7.0,2938.0,1200.0,Municipal Facilities,backless,625 Flushing Avenue,Flushing Avenue,Gerry Street & Bartlett Street,Brooklyn,Brooklyn,301.0,B57,Not Applicable
230796,2865,2.2299999999999995,df_benches,40.849404,-73.933658,-3020.1458648398316,1422 St. Nicholas Avenue,01/15/2015,Bench,10.0,POINT (-73.933658 40.849404),1.0,Manhattan,Manhattan,112.0,72.0,31.0,13.0,2986.0,1658.0,Municipal Facilities,backless,585 West 181st Street,West 181st Street,West 181st Street & West 182 Street,Manhattan,Manhattan,112.0,BX11,Not Applicable
